now,event,power,voltage,current,resistance,temperature,steady-state-count,filtered-delta
1040.001,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.030286
1042.503,timerEvent,49.77,10.82,4.60,2.352,183.2,0,-0.009610
1045.002,timerEvent,49.77,10.82,4.60,2.352,183.2,0,-0.008649
1047.501,timerEvent,49.82,10.83,4.60,2.354,183.6,0,-0.007784
1050.002,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.029862
1052.502,timerEvent,49.77,10.82,4.60,2.352,183.2,0,-0.009992
1055.001,timerEvent,49.82,10.83,4.60,2.354,183.6,0,-0.008993
1057.501,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.028774
1060.002,timerEvent,49.82,10.83,4.60,2.354,183.6,0,-0.010971
1062.501,timerEvent,49.71,10.83,4.59,2.359,184.4,0,0.026994
1065.001,timerEvent,50.02,10.85,4.61,2.354,183.4,0,0.111283
1067.501,timerEvent,49.66,10.82,4.59,2.357,184.1,1,0.000131
1070.001,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.063193
1072.501,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.043701
1075.001,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.039331
1077.502,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.035398
1080.002,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.031858
1082.502,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.028672
1085.001,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.025805
1087.502,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.023225
1090.002,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.020902
1092.501,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.018812
1095.002,timerEvent,49.76,10.84,4.59,2.362,184.8,0,0.016931
1097.502,timerEvent,49.91,10.85,4.60,2.359,184.3,0,0.102306
1100.001,timerEvent,49.76,10.84,4.59,2.362,184.8,0,0.041875
1102.502,timerEvent,49.91,10.85,4.60,2.359,184.3,0,0.087888
1105.002,timerEvent,49.76,10.84,4.59,2.362,184.8,0,0.028898
1107.502,timerEvent,49.91,10.85,4.60,2.359,184.3,0,0.076209
1110.002,timerEvent,49.76,10.84,4.59,2.362,184.8,0,0.018388
1112.502,timerEvent,49.91,10.85,4.60,2.359,184.3,0,0.066750
1115.002,timerEvent,49.76,10.84,4.59,2.362,184.8,0,0.009874
1117.502,timerEvent,49.91,10.85,4.60,2.359,184.3,0,0.059087
1120.001,timerEvent,49.76,10.84,4.59,2.362,184.8,0,0.002978
1122.502,timerEvent,49.91,10.85,4.60,2.359,184.3,0,0.052881
1125.002,timerEvent,49.76,10.84,4.59,2.362,184.8,0,-0.002608
1127.501,timerEvent,49.80,10.85,4.59,2.364,185.2,0,0.047854
1130.002,timerEvent,50.00,10.87,4.60,2.363,185.0,0,0.080016
1132.501,timerEvent,49.80,10.85,4.59,2.364,185.2,0,0.058601
1135.002,timerEvent,49.96,10.86,4.60,2.361,184.7,0,0.066154
1137.502,timerEvent,49.80,10.85,4.59,2.364,185.2,0,0.009258
1140.002,timerEvent,49.96,10.86,4.60,2.361,184.7,0,0.058613
1142.502,timerEvent,49.80,10.85,4.59,2.364,185.2,0,0.002471
1145.002,timerEvent,49.96,10.86,4.60,2.361,184.7,0,0.052505
1147.502,timerEvent,49.80,10.85,4.59,2.364,185.2,0,-0.003027
1150.002,timerEvent,49.96,10.86,4.60,2.361,184.7,0,0.047557
1152.502,timerEvent,49.80,10.85,4.59,2.364,185.2,0,-0.007480
1155.002,timerEvent,50.00,10.87,4.60,2.363,185.0,0,0.043549
1157.502,timerEvent,49.80,10.85,4.59,2.364,185.2,0,0.025781
1160.001,timerEvent,49.96,10.86,4.60,2.361,184.7,0,0.036616
1162.503,timerEvent,49.80,10.85,4.59,2.364,185.2,0,-0.017327
1165.002,timerEvent,50.00,10.87,4.60,2.363,185.0,0,0.034687
1167.502,timerEvent,49.80,10.85,4.59,2.364,185.2,0,0.017805
1170.002,timerEvent,49.96,10.86,4.60,2.361,184.7,0,0.029438
1172.502,timerEvent,49.80,10.85,4.59,2.364,185.2,0,-0.023787
1175.002,timerEvent,49.89,10.87,4.59,2.368,185.9,0,0.028873
1177.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.099881
1180.002,timerEvent,49.89,10.87,4.59,2.368,185.9,0,0.052945
1182.502,timerEvent,49.89,10.87,4.59,2.368,185.9,0,0.084599
1185.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.076139
1187.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.031577
1190.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.028419
1192.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.025577
1195.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.023020
1197.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.020718
1200.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.018646
1202.502,timerEvent,49.89,10.87,4.59,2.368,185.9,0,0.016781
