now,stage,power,voltage,current,resistance,temperature,last.power,last.voltage,last.current,last.resistance,last.temperature
627.502,,29.88,7.72,3.87,1.995,71.2,29.76,7.71,3.86,1.997,71.6
630.002,,29.76,7.71,3.86,1.997,71.6,29.88,7.72,3.87,1.995,71.2
632.502,,29.88,7.72,3.87,1.995,71.2,29.76,7.71,3.86,1.997,71.6
635.002,,29.76,7.71,3.86,1.997,71.6,29.88,7.72,3.87,1.995,71.2
637.502,,29.88,7.72,3.87,1.995,71.2,29.76,7.71,3.86,1.997,71.6
640.002,,29.76,7.71,3.86,1.997,71.6,29.88,7.72,3.87,1.995,71.2
642.501,,29.80,7.72,3.86,2.000,72.0,29.76,7.71,3.86,1.997,71.6
645.002,,29.80,7.72,3.86,2.000,72.0,29.80,7.72,3.86,2.000,72.0
647.502,,29.80,7.72,3.86,2.000,72.0,29.80,7.72,3.86,2.000,72.0
650.002,,29.80,7.72,3.86,2.000,72.0,29.80,7.72,3.86,2.000,72.0
652.502,,29.80,7.72,3.86,2.000,72.0,29.80,7.72,3.86,2.000,72.0
655.002,,29.80,7.72,3.86,2.000,72.0,29.80,7.72,3.86,2.000,72.0
657.502,,29.80,7.72,3.86,2.000,72.0,29.80,7.72,3.86,2.000,72.0
660.002,,29.80,7.72,3.86,2.000,72.0,29.80,7.72,3.86,2.000,72.0
662.502,,29.72,7.72,3.85,2.005,72.8,29.80,7.72,3.86,2.000,72.0
665.002,,29.88,7.74,3.86,2.005,72.8,29.72,7.72,3.85,2.005,72.8
667.502,,29.88,7.74,3.86,2.005,72.8,29.88,7.74,3.86,2.005,72.8
670.002,,29.84,7.73,3.86,2.003,72.4,29.88,7.74,3.86,2.005,72.8
672.502,,29.88,7.74,3.86,2.005,72.8,29.84,7.73,3.86,2.003,72.4
675.002,,29.76,7.73,3.85,2.008,73.2,29.88,7.74,3.86,2.005,72.8
677.502,,29.91,7.75,3.86,2.008,73.2,29.76,7.73,3.85,2.008,73.2
680.002,,29.91,7.75,3.86,2.008,73.2,29.91,7.75,3.86,2.008,73.2
682.501,,29.91,7.75,3.86,2.008,73.2,29.91,7.75,3.86,2.008,73.2
685.002,,29.91,7.75,3.86,2.008,73.2,29.91,7.75,3.86,2.008,73.2
687.502,,29.84,7.75,3.85,2.013,74.0,29.91,7.75,3.86,2.008,73.2
690.002,,29.84,7.75,3.85,2.013,74.0,29.84,7.75,3.85,2.013,74.0
692.502,,29.84,7.75,3.85,2.013,74.0,29.84,7.75,3.85,2.013,74.0
695.002,,29.84,7.75,3.85,2.013,74.0,29.84,7.75,3.85,2.013,74.0
697.502,,29.84,7.75,3.85,2.013,74.0,29.84,7.75,3.85,2.013,74.0
700.002,,29.84,7.75,3.85,2.013,74.0,29.84,7.75,3.85,2.013,74.0
702.502,,29.76,7.75,3.84,2.018,74.8,29.84,7.75,3.85,2.013,74.0
705.002,,29.88,7.76,3.85,2.016,74.3,29.76,7.75,3.84,2.018,74.8
707.502,,29.76,7.75,3.84,2.018,74.8,29.88,7.76,3.85,2.016,74.3
710.002,,29.88,7.76,3.85,2.016,74.3,29.76,7.75,3.84,2.018,74.8
712.502,,29.76,7.75,3.84,2.018,74.8,29.88,7.76,3.85,2.016,74.3
715.002,,29.80,7.76,3.84,2.021,75.2,29.76,7.75,3.84,2.018,74.8
717.502,,29.80,7.76,3.84,2.021,75.2,29.80,7.76,3.84,2.021,75.2
720.002,,29.80,7.76,3.84,2.021,75.2,29.80,7.76,3.84,2.021,75.2
722.502,,29.80,7.76,3.84,2.021,75.2,29.80,7.76,3.84,2.021,75.2
725.001,,29.80,7.76,3.84,2.021,75.2,29.80,7.76,3.84,2.021,75.2
727.502,,29.80,7.76,3.84,2.021,75.2,29.80,7.76,3.84,2.021,75.2
730.002,,29.80,7.76,3.84,2.021,75.2,29.80,7.76,3.84,2.021,75.2
732.502,,29.80,7.76,3.84,2.021,75.2,29.80,7.76,3.84,2.021,75.2
735.002,,29.80,7.76,3.84,2.021,75.2,29.80,7.76,3.84,2.021,75.2
