now,event,power,voltage,current,resistance,temperature,stage,raw-voltage,raw-current,steady-state-count,filtered-delta,sample-count
600.001,timerEvent,2.491,2.004,1.243,1.61225,73.7,bangBang,2.00,1.25,0,0.000000,238
602.002,timerEvent,105.684,13.262,7.969,1.66427,83.6,bangBang,13.31,7.97,0,0.000000,239
604.001,timerEvent,2.387,1.984,1.203,1.64951,80.8,bangBang,1.98,1.21,0,0.000000,240
606.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,241
608.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,242
610.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,243
612.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,244
614.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,245
616.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,246
618.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,247
620.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,248
622.002,timerEvent,2.471,2.004,1.233,1.62536,76.2,bangBang,2.00,1.24,0,0.000000,249
624.001,timerEvent,2.491,2.004,1.243,1.61225,73.7,bangBang,2.00,1.25,0,0.000000,250
626.002,timerEvent,105.338,13.252,7.949,1.66723,84.2,bangBang,13.30,7.95,0,0.000000,251
628.002,timerEvent,2.387,1.984,1.203,1.64951,80.8,bangBang,1.98,1.21,0,0.000000,252
630.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,253
632.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,254
634.002,timerEvent,2.471,2.004,1.233,1.62536,76.2,bangBang,2.00,1.24,0,0.000000,255
636.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,256
638.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,257
640.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,258
642.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,259
644.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,260
646.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,261
648.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,262
650.001,timerEvent,2.471,2.004,1.233,1.62536,76.2,bangBang,2.00,1.24,0,0.000000,263
652.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,264
654.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,265
656.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,266
658.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,267
660.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,268
662.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,269
664.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,270
666.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,271
668.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,272
670.002,timerEvent,2.491,2.004,1.243,1.61225,73.7,bangBang,2.00,1.25,0,0.000000,273
672.002,timerEvent,106.083,13.262,7.999,1.65799,82.4,bangBang,13.31,8.00,0,0.000000,274
674.002,timerEvent,2.463,2.014,1.223,1.64681,80.3,bangBang,2.01,1.23,0,0.000000,275
676.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,276
678.002,timerEvent,2.471,2.004,1.233,1.62536,76.2,bangBang,2.00,1.24,0,0.000000,277
680.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,278
682.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,279
684.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,280
686.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,281
688.002,timerEvent,2.491,2.004,1.243,1.61225,73.7,bangBang,2.00,1.25,0,0.000000,282
690.001,timerEvent,105.684,13.262,7.969,1.66427,83.6,bangBang,13.31,7.97,0,0.000000,283
692.002,timerEvent,104.084,13.262,7.848,1.68984,88.5,steady,13.31,7.85,0,0.000000,0
694.002,timerEvent,10.208,4.125,2.475,1.66697,84.1,steady,4.13,2.48,0,-0.022868,0
696.002,timerEvent,10.069,4.085,2.465,1.65763,82.3,steady,4.09,2.47,0,-0.021515,0
698.001,timerEvent,10.045,4.076,2.465,1.65361,81.6,steady,4.08,2.47,0,-0.019766,0
700.002,timerEvent,10.045,4.076,2.465,1.65361,81.6,steady,4.08,2.47,0,-0.017790,0
702.001,timerEvent,10.045,4.076,2.465,1.65361,81.6,steady,4.08,2.47,0,-0.016011,0
704.001,timerEvent,10.045,4.076,2.465,1.65361,81.6,steady,4.08,2.47,0,-0.014410,0
706.002,timerEvent,10.045,4.076,2.465,1.65361,81.6,steady,4.08,2.47,0,-0.012969,0
708.002,timerEvent,10.045,4.076,2.465,1.65361,81.6,steady,4.08,2.47,0,-0.011672,0
710.001,timerEvent,10.045,4.076,2.465,1.65361,81.6,steady,4.08,2.47,0,-0.010505,0
712.001,timerEvent,10.045,4.076,2.465,1.65361,81.6,steady,4.08,2.47,0,-0.009454,0
714.002,timerEvent,10.045,4.076,2.465,1.65361,81.6,steady,4.08,2.47,0,-0.008509,0
716.002,timerEvent,10.086,4.076,2.475,1.64692,80.3,steady,4.08,2.48,0,-0.008326,0
718.001,timerEvent,9.996,4.056,2.465,1.64555,80.0,steady,4.06,2.47,0,-0.007630,0
720.002,timerEvent,9.996,4.056,2.465,1.64555,80.0,steady,4.06,2.47,0,-0.006867,0
722.001,timerEvent,9.996,4.056,2.465,1.64555,80.0,steady,4.06,2.47,0,-0.006181,0
724.001,timerEvent,9.996,4.056,2.465,1.64555,80.0,steady,4.06,2.47,0,-0.005563,0
726.001,timerEvent,9.996,4.056,2.465,1.64555,80.0,steady,4.06,2.47,0,-0.005006,0
728.002,timerEvent,9.996,4.056,2.465,1.64555,80.0,steady,4.06,2.47,0,-0.004506,0
730.001,timerEvent,9.996,4.056,2.465,1.64555,80.0,steady,4.06,2.47,0,-0.004055,0
732.002,timerEvent,9.996,4.056,2.465,1.64555,80.0,steady,4.06,2.47,0,-0.003650,0
734.001,timerEvent,9.996,4.056,2.465,1.64555,80.0,steady,4.06,2.47,0,-0.003285,0
736.001,timerEvent,9.996,4.056,2.465,1.64555,80.0,steady,4.06,2.47,0,-0.002956,0
738.001,timerEvent,9.996,4.056,2.465,1.64555,80.0,steady,4.06,2.47,0,-0.002661,0
740.001,timerEvent,9.996,4.056,2.465,1.64555,80.0,steady,4.06,2.47,0,-0.002395,0
