now,event,power,voltage,current,resistance,temperature,stage,raw-current,raw-voltage,steady-state-count,filtered-delta
436.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
438.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
440.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
442.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
444.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
446.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
448.002,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
450.001,timerEvent,106.481,13.797,7.718,1.78778,108.4,bangBang,7.72,13.85,0,0.000000
452.001,timerEvent,17.096,5.506,3.105,1.77358,105.7,steady,3.11,5.52,0,0.000000
454.001,timerEvent,17.003,5.477,3.105,1.76395,103.8,steady,3.11,5.49,0,-0.009624
456.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.008414
458.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.007572
460.001,timerEvent,16.886,5.457,3.095,1.76322,103.7,steady,3.10,5.47,0,-0.007137
462.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.006101
464.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.005491
466.002,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.004942
468.002,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.004448
470.001,timerEvent,16.886,5.457,3.095,1.76322,103.7,steady,3.10,5.47,0,-0.004325
472.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.003571
474.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.003213
476.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.002892
478.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.002603
480.002,timerEvent,16.972,5.467,3.105,1.76075,103.2,steady,3.11,5.48,0,-0.002911
482.001,timerEvent,16.972,5.467,3.105,1.76075,103.2,steady,3.11,5.48,0,-0.002620
484.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.001789
486.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.001611
488.002,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.001449
490.001,timerEvent,16.886,5.457,3.095,1.76322,103.7,steady,3.10,5.47,0,-0.001626
492.002,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.001142
494.002,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.001028
496.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.000925
498.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.000832
500.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.000749
502.002,timerEvent,16.972,5.467,3.105,1.76075,103.2,steady,3.11,5.48,0,-0.001243
504.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.000550
506.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.000495
508.001,timerEvent,16.886,5.457,3.095,1.76322,103.7,steady,3.10,5.47,0,-0.000767
510.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.000369
512.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.000332
514.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.000299
516.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.000269
518.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.000242
520.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.000218
522.001,timerEvent,16.886,5.457,3.095,1.76322,103.7,steady,3.10,5.47,0,-0.000518
524.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.000144
526.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,0,-0.000130
528.001,timerEvent,16.886,5.457,3.095,1.76322,103.7,steady,3.10,5.47,0,-0.000439
530.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,1,-0.000073
532.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,2,-0.000066
534.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,3,-0.000059
536.001,timerEvent,16.917,5.467,3.095,1.76643,104.3,steady,3.10,5.48,4,-0.000053
