now,event,power,voltage,current,resistance,temperature,steady-state-count
727.502,timerEvent,49.73,10.74,4.63,2.320,177.7,0
730.002,timerEvent,49.73,10.74,4.63,2.320,177.7,0
732.502,timerEvent,49.73,10.74,4.63,2.320,177.7,0
735.002,timerEvent,49.73,10.74,4.63,2.320,177.7,0
737.502,timerEvent,49.73,10.74,4.63,2.320,177.7,0
740.002,timerEvent,49.83,10.74,4.64,2.315,176.8,0
742.502,timerEvent,49.73,10.74,4.63,2.320,177.7,0
745.002,timerEvent,49.73,10.74,4.63,2.320,177.7,0
747.501,timerEvent,49.73,10.74,4.63,2.320,177.7,0
750.002,timerEvent,49.62,10.74,4.62,2.325,178.5,0
752.502,timerEvent,49.76,10.77,4.62,2.331,179.6,0
755.002,timerEvent,49.96,10.79,4.63,2.330,179.5,0
757.502,timerEvent,49.91,10.78,4.63,2.328,179.1,0
760.002,timerEvent,49.76,10.77,4.62,2.331,179.6,0
762.502,timerEvent,49.80,10.78,4.62,2.333,180.0,0
765.002,timerEvent,49.80,10.78,4.62,2.333,180.0,0
767.502,timerEvent,49.91,10.78,4.63,2.328,179.1,0
770.002,timerEvent,49.65,10.77,4.61,2.336,180.5,0
772.502,timerEvent,49.80,10.78,4.62,2.333,180.0,0
775.002,timerEvent,49.74,10.79,4.61,2.341,181.2,0
777.502,timerEvent,49.79,10.80,4.61,2.343,181.6,0
780.002,timerEvent,50.05,10.81,4.63,2.335,180.2,0
782.501,timerEvent,49.80,10.78,4.62,2.333,180.0,0
785.002,timerEvent,49.70,10.78,4.61,2.338,180.9,0
787.502,timerEvent,49.79,10.80,4.61,2.343,181.6,0
790.001,timerEvent,49.94,10.81,4.62,2.340,181.1,0
792.501,timerEvent,49.90,10.80,4.62,2.338,180.7,0
795.002,timerEvent,49.90,10.80,4.62,2.338,180.7,0
797.502,timerEvent,49.90,10.80,4.62,2.338,180.7,0
800.001,timerEvent,49.90,10.80,4.62,2.338,180.7,0
802.502,timerEvent,49.79,10.80,4.61,2.343,181.6,0
805.001,timerEvent,49.94,10.81,4.62,2.340,181.1,0
807.502,timerEvent,49.79,10.80,4.61,2.343,181.6,0
810.002,timerEvent,49.83,10.81,4.61,2.345,182.0,0
812.502,timerEvent,49.83,10.81,4.61,2.345,182.0,0
815.002,timerEvent,49.83,10.81,4.61,2.345,182.0,0
817.502,timerEvent,49.83,10.81,4.61,2.345,182.0,0
820.002,timerEvent,49.83,10.81,4.61,2.345,182.0,0
822.502,timerEvent,49.83,10.81,4.61,2.345,182.0,0
825.001,timerEvent,49.94,10.81,4.62,2.340,181.1,0
827.502,timerEvent,49.68,10.80,4.60,2.348,182.5,0
830.002,timerEvent,49.99,10.82,4.62,2.342,181.5,0
832.502,timerEvent,49.73,10.81,4.60,2.350,182.8,0
