now,temperature,device-temperature,back-prediction,forward-prediction,last-update-delay,now-temperature,period,power,predict-temperature,resistance,set-power,then-temperature,tuned-prediction
177.001,140.2,132.4,139.259105397955,135.014660771669,0.544,136.6,1.5,1.454,137.136883084812,2.75103,155,137.03,135.305265155333
178.501,151.7,132.7,134.586363000656,131.978414264564,0.544,137,1.5,150.239,133.28238863261,2.83555,155,137.5,131.727576049952
180.001,156.3,132.8,118.324557524306,121.160855426194,0.544,137.5,1.5,152.977,119.74270647525,2.86908,155,137.97,119.116742829003
181.501,160.1,133.6,120.894545384099,123.949639888541,0.544,138,1.5,153.535,122.42209263632,2.89698,1,138.44,121.809462926796
183.001,150,133.8,125.833076772279,127.69427489553,0.544,138.4,1.5,1.431,126.763675833905,2.82303,1,138.91,125.937114574051
184.501,147,134.8,143.410649836346,139.752830113404,0.544,138.9,1.5,1.428,141.581739974875,2.80112,1,139.38,139.808504056455
186,145.9,135.4,144.328247838146,140.08980853757,0.544,139.4,1.5,1.432,142.209028187858,2.7933,1,139.84,140.342944549334
187.501,144.9,135.8,143.43333085313,139.195590201216,0.544,139.8,1.5,1.436,141.314460527173,2.78552,1,140.31,139.454668275465
189,143.8,136,142.225991750878,138.057153333553,0.544,140.3,1.5,1.44,140.141572542215,2.77778,155,140.78,138.30042890381
190.501,155.6,136.1,138.657786571032,135.82646377048,0.544,140.8,1.5,150.158,137.242125170756,2.86464,155,141.25,135.625163237029
192.001,160.3,136.1,122.430964862516,125.104613298519,0.544,141.3,1.5,153.022,123.767789080517,2.89843,1,141.72,123.087064277455
193.501,151.1,136.8,127.942162805143,129.463833121697,0.544,141.7,1.5,1.427,128.70299796342,2.83099,1,142.19,127.810558287578
195.001,148.1,137.2,144.51177787998,140.817486484122,0.544,142.2,1.5,1.424,142.664632182051,2.80899,1,142.66,140.8783637644
196.5,147,138,145.429375881779,141.154451245979,0.544,142.7,1.5,1.428,143.291913563879,2.80112,155,143.13,141.412812765282
198.001,158.8,138,141.839243037752,138.906815710095,0.544,143.1,1.5,150.268,140.373029373923,2.88744,155,143.59,138.718754942948
199.501,163.4,138.4,125.374141494168,127.990198401853,0.544,143.6,1.5,153.241,126.68216994801,2.92184,1,144.06,125.97123422991
201.001,153.8,139,130.251117485803,131.817041745374,0.544,144.1,1.5,1.417,131.034079615588,2.85106,1,144.53,130.131526858155
202.501,150.8,139.3,147.214597989064,143.430656797393,0.544,144.5,1.5,1.414,145.322627393229,2.82885,1,145,143.504498811566
204,149.7,139.7,148.132195990864,143.76758716345,0.544,145,1.5,1.418,145.949891577157,2.82087,155,145.47,144.038968628957
205.501,161.7,139.9,144.934754213018,141.838859536758,0.544,145.5,1.5,150.166,143.386806874888,2.90884,155,145.94,141.686803151162
207.001,165.9,140,127.476983962643,130.135157129714,0.544,145.9,1.5,153.145,128.806070546179,2.94028,1,146.41,128.086078365533
208.501,156.6,140.6,133.254433169634,134.632942213783,0.544,146.4,1.5,1.407,133.943687691709,2.87143,1,146.88,132.991744004768
210.001,153.5,141.3,149.811207039531,145.969927056178,0.544,146.9,1.5,1.404,147.890567047854,2.849,1,147.34,146.046323889716
211.501,152.4,141.8,150.835016099948,146.380550392657,0.544,147.3,1.5,1.408,148.607783246303,2.84091,155,147.81,146.665226496505
213.001,163.9,141.9,146.693231526728,143.684402361677,0.544,147.8,1.5,150.178,145.188816944203,2.92533,155,148.28,143.489775265586
214.501,168.7,142,130.92183001554,133.292076180149,0.544,148.3,1.5,153.096,132.106953097845,2.96065,1,148.75,131.319278274204
216.001,158.8,142.7,135.041216219395,136.533793220493,0.544,148.8,1.5,1.399,135.787504719944,2.88793,1,149.22,134.83987396859
217.501,155.7,143.3,152.013463126798,148.098878265769,0.544,149.2,1.5,1.396,150.056170696284,2.86533,1,149.69,148.186257759144
219.001,154.6,143.9,153.037272187216,148.509466896396,0.544,149.7,1.5,1.4,150.773369541806,2.85714,155,150.16,148.805179837097
220.5,166.6,144.1,149.834977565657,146.577232273716,0.544,150.2,1.5,150.175,148.206104919687,2.94497,155,150.63,146.448717032138
222,171.3,144.6,133.381596408899,135.706545657228,0.544,150.6,1.5,153.287,134.544071033064,2.97923,1,151.09,133.732114643644
223.5,161.7,144.7,138.169578703819,139.475780920852,0.544,151.1,1.5,1.389,138.822679812335,2.90883,1,151.56,137.825333672598
225.001,158,145.4,153.678657414271,149.882233013237,0.544,151.6,1.5,1.388,151.780445213754,2.88184,1,152.03,149.917117324533
226.501,156.9,146,155.339528274483,150.734941450363,0.544,152,1.5,1.392,153.037234862423,2.87356,155,152.5,151.04238827107
